sex,age,citizen,educd,region,n
male,4,born abroad of american parents,kindergarten,pacific division,1
male,4,naturalized citizen,no schooling completed,new england division,4
male,4,naturalized citizen,no schooling completed,middle atlantic division,11
male,4,naturalized citizen,no schooling completed,east north central div,3
male,4,naturalized citizen,no schooling completed,west north central div,2
male,4,naturalized citizen,no schooling completed,south atlantic division,5
male,4,naturalized citizen,no schooling completed,west south central div,3
male,4,naturalized citizen,no schooling completed,mountain division,2
male,4,naturalized citizen,no schooling completed,pacific division,7
male,4,naturalized citizen,"nursery school, preschool",middle atlantic division,1
male,4,naturalized citizen,"nursery school, preschool",south atlantic division,3
male,4,naturalized citizen,"nursery school, preschool",pacific division,4
male,4,naturalized citizen,kindergarten,middle atlantic division,1
male,5,born abroad of american parents,no schooling completed,new england division,1
male,5,born abroad of american parents,no schooling completed,middle atlantic division,11
male,5,born abroad of american parents,no schooling completed,east north central div,7
male,5,born abroad of american parents,no schooling completed,west north central div,6
male,5,born abroad of american parents,no schooling completed,south atlantic division,13
male,5,born abroad of american parents,no schooling completed,east south central div,3
male,5,born abroad of american parents,no schooling completed,west south central div,19
male,5,born abroad of american parents,no schooling completed,mountain division,6
male,5,born abroad of american parents,no schooling completed,pacific division,29
male,5,born abroad of american parents,"nursery school, preschool",new england division,1
male,5,born abroad of american parents,"nursery school, preschool",middle atlantic division,9
male,5,born abroad of american parents,"nursery school, preschool",east north central div,4
male,5,born abroad of american parents,"nursery school, preschool",west north central div,2
male,5,born abroad of american parents,"nursery school, preschool",south atlantic division,11
male,5,born abroad of american parents,"nursery school, preschool",east south central div,2
male,5,born abroad of american parents,"nursery school, preschool",west south central div,5
male,5,born abroad of american parents,"nursery school, preschool",mountain division,8
male,5,born abroad of american parents,"nursery school, preschool",pacific division,13
male,5,born abroad of american parents,kindergarten,new england division,1
male,5,born abroad of american parents,kindergarten,middle atlantic division,1
male,5,born abroad of american parents,kindergarten,east north central div,1
male,5,born abroad of american parents,kindergarten,west south central div,1
male,5,naturalized citizen,no schooling completed,middle atlantic division,6
male,5,naturalized citizen,no schooling completed,east north central div,3
male,5,naturalized citizen,no schooling completed,west north central div,1
male,5,naturalized citizen,no schooling completed,south atlantic division,10
male,5,naturalized citizen,no schooling completed,west south central div,1
male,5,naturalized citizen,no schooling completed,mountain division,1
male,5,naturalized citizen,no schooling completed,pacific division,12
male,5,naturalized citizen,"nursery school, preschool",new england division,1
male,5,naturalized citizen,"nursery school, preschool",middle atlantic division,3
male,5,naturalized citizen,"nursery school, preschool",east north central div,3
male,5,naturalized citizen,"nursery school, preschool",south atlantic division,5
male,5,naturalized citizen,"nursery school, preschool",pacific division,5
male,5,naturalized citizen,kindergarten,middle atlantic division,1
male,5,naturalized citizen,kindergarten,east north central div,1
male,5,naturalized citizen,kindergarten,west south central div,1
male,5,naturalized citizen,kindergarten,pacific division,1
male,6,born abroad of american parents,no schooling completed,new england division,2
male,6,born abroad of american parents,no schooling completed,middle atlantic division,9
male,6,born abroad of american parents,no schooling completed,east north central div,5
male,6,born abroad of american parents,no schooling completed,west north central div,2
male,6,born abroad of american parents,no schooling completed,south atlantic division,8
male,6,born abroad of american parents,no schooling completed,east south central div,4
male,6,born abroad of american parents,no schooling completed,west south central div,8
male,6,born abroad of american parents,no schooling completed,mountain division,4
male,6,born abroad of american parents,no schooling completed,pacific division,12
male,6,born abroad of american parents,"nursery school, preschool",new england division,6
male,6,born abroad of american parents,"nursery school, preschool",middle atlantic division,12
male,6,born abroad of american parents,"nursery school, preschool",east north central div,7
male,6,born abroad of american parents,"nursery school, preschool",west north central div,3
male,6,born abroad of american parents,"nursery school, preschool",south atlantic division,28
male,6,born abroad of american parents,"nursery school, preschool",east south central div,2
male,6,born abroad of american parents,"nursery school, preschool",west south central div,15
male,6,born abroad of american parents,"nursery school, preschool",mountain division,8
male,6,born abroad of american parents,"nursery school, preschool",pacific division,25
male,6,born abroad of american parents,kindergarten,new england division,2
male,6,born abroad of american parents,kindergarten,middle atlantic division,4
male,6,born abroad of american parents,kindergarten,east north central div,1
male,6,born abroad of american parents,kindergarten,west north central div,2
male,6,born abroad of american parents,kindergarten,south atlantic division,4
male,6,born abroad of american parents,kindergarten,east south central div,1
male,6,born abroad of american parents,kindergarten,mountain division,2
male,6,born abroad of american parents,kindergarten,pacific division,11
male,6,naturalized citizen,no schooling completed,new england division,1
male,6,naturalized citizen,no schooling completed,middle atlantic division,5
male,6,naturalized citizen,no schooling completed,east north central div,2
male,6,naturalized citizen,no schooling completed,west north central div,1
male,6,naturalized citizen,no schooling completed,south atlantic division,6
male,6,naturalized citizen,no schooling completed,pacific division,6
male,6,naturalized citizen,"nursery school, preschool",new england division,1
male,6,naturalized citizen,"nursery school, preschool",middle atlantic division,4
male,6,naturalized citizen,"nursery school, preschool",east north central div,6
male,6,naturalized citizen,"nursery school, preschool",west north central div,2
male,6,naturalized citizen,"nursery school, preschool",south atlantic division,6
male,6,naturalized citizen,"nursery school, preschool",west south central div,4
male,6,naturalized citizen,"nursery school, preschool",mountain division,1
male,6,naturalized citizen,"nursery school, preschool",pacific division,9
male,6,naturalized citizen,kindergarten,middle atlantic division,5
male,6,naturalized citizen,kindergarten,east north central div,1
male,6,naturalized citizen,kindergarten,west north central div,1
male,6,naturalized citizen,kindergarten,south atlantic division,2
male,6,naturalized citizen,kindergarten,east south central div,1
male,6,naturalized citizen,kindergarten,mountain division,2
male,6,naturalized citizen,kindergarten,pacific division,5
male,7,born abroad of american parents,no schooling completed,middle atlantic division,1
male,7,born abroad of american parents,no schooling completed,east north central div,1
male,7,born abroad of american parents,no schooling completed,west north central div,1
male,7,born abroad of american parents,no schooling completed,south atlantic division,2
male,7,born abroad of american parents,no schooling completed,east south central div,2
male,7,born abroad of american parents,no schooling completed,west south central div,1
male,7,born abroad of american parents,no schooling completed,mountain division,1
male,7,born abroad of american parents,no schooling completed,pacific division,3
male,7,born abroad of american parents,"nursery school, preschool",new england division,5
male,7,born abroad of american parents,"nursery school, preschool",middle atlantic division,5
male,7,born abroad of american parents,"nursery school, preschool",east north central div,3
male,7,born abroad of american parents,"nursery school, preschool",west north central div,1
male,7,born abroad of american parents,"nursery school, preschool",south atlantic division,11
male,7,born abroad of american parents,"nursery school, preschool",east south central div,1
male,7,born abroad of american parents,"nursery school, preschool",west south central div,2
male,7,born abroad of american parents,"nursery school, preschool",mountain division,4
male,7,born abroad of american parents,"nursery school, preschool",pacific division,6
male,7,born abroad of american parents,kindergarten,new england division,5
male,7,born abroad of american parents,kindergarten,middle atlantic division,17
male,7,born abroad of american parents,kindergarten,east north central div,6
male,7,born abroad of american parents,kindergarten,west north central div,3
male,7,born abroad of american parents,kindergarten,south atlantic division,16
male,7,born abroad of american parents,kindergarten,east south central div,6
male,7,born abroad of american parents,kindergarten,west south central div,15
male,7,born abroad of american parents,kindergarten,mountain division,7
male,7,born abroad of american parents,kindergarten,pacific division,29
male,7,born abroad of american parents,grade 1,new england division,4
male,7,born abroad of american parents,grade 1,middle atlantic division,3
male,7,born abroad of american parents,grade 1,east north central div,3
male,7,born abroad of american parents,grade 1,west north central div,1
male,7,born abroad of american parents,grade 1,south atlantic division,8
male,7,born abroad of american parents,grade 1,mountain division,1
male,7,born abroad of american parents,grade 1,pacific division,3
male,7,born abroad of american parents,grade 2,middle atlantic division,1
male,7,naturalized citizen,no schooling completed,middle atlantic division,1
male,7,naturalized citizen,no schooling completed,west north central div,1
male,7,naturalized citizen,no schooling completed,south atlantic division,3
male,7,naturalized citizen,no schooling completed,west south central div,1
male,7,naturalized citizen,no schooling completed,pacific division,3
male,7,naturalized citizen,"nursery school, preschool",middle atlantic division,1
male,7,naturalized citizen,"nursery school, preschool",west north central div,1
male,7,naturalized citizen,"nursery school, preschool",south atlantic division,3
male,7,naturalized citizen,"nursery school, preschool",east south central div,2
male,7,naturalized citizen,"nursery school, preschool",pacific division,6
male,7,naturalized citizen,kindergarten,new england division,4
male,7,naturalized citizen,kindergarten,middle atlantic division,8
male,7,naturalized citizen,kindergarten,east north central div,3
male,7,naturalized citizen,kindergarten,west north central div,1
male,7,naturalized citizen,kindergarten,south atlantic division,10
male,7,naturalized citizen,kindergarten,east south central div,2
male,7,naturalized citizen,kindergarten,west south central div,4
male,7,naturalized citizen,kindergarten,mountain division,2
male,7,naturalized citizen,kindergarten,pacific division,12
male,7,naturalized citizen,grade 1,east north central div,1
male,7,naturalized citizen,grade 1,south atlantic division,2
male,7,naturalized citizen,grade 1,east south central div,1
male,7,naturalized citizen,grade 1,west south central div,1
male,7,naturalized citizen,grade 1,pacific division,3
male,7,naturalized citizen,grade 2,west south central div,1
male,7,naturalized citizen,grade 2,pacific division,3
male,8,born abroad of american parents,no schooling completed,east north central div,1
male,8,born abroad of american parents,no schooling completed,west south central div,1
male,8,born abroad of american parents,kindergarten,new england division,2
male,8,born abroad of american parents,kindergarten,middle atlantic division,10
male,8,born abroad of american parents,kindergarten,east north central div,9
male,8,born abroad of american parents,kindergarten,west north central div,2
male,8,born abroad of american parents,kindergarten,south atlantic division,12
male,8,born abroad of american parents,kindergarten,east south central div,1
male,8,born abroad of american parents,kindergarten,west south central div,4
male,8,born abroad of american parents,kindergarten,mountain division,4
male,8,born abroad of american parents,kindergarten,pacific division,10
male,8,born abroad of american parents,grade 1,new england division,5
male,8,born abroad of american parents,grade 1,middle atlantic division,12
male,8,born abroad of american parents,grade 1,east north central div,13
male,8,born abroad of american parents,grade 1,west north central div,5
male,8,born abroad of american parents,grade 1,south atlantic division,20
male,8,born abroad of american parents,grade 1,east south central div,2
male,8,born abroad of american parents,grade 1,west south central div,15
male,8,born abroad of american parents,grade 1,mountain division,11
male,8,born abroad of american parents,grade 1,pacific division,31
male,8,born abroad of american parents,grade 2,new england division,2
male,8,born abroad of american parents,grade 2,middle atlantic division,1
male,8,born abroad of american parents,grade 2,west north central div,3
male,8,born abroad of american parents,grade 2,south atlantic division,5
male,8,born abroad of american parents,grade 2,west south central div,3
male,8,born abroad of american parents,grade 2,mountain division,1
male,8,born abroad of american parents,grade 2,pacific division,12
male,8,born abroad of american parents,grade 3,new england division,1
male,8,born abroad of american parents,grade 3,middle atlantic division,1
male,8,born abroad of american parents,grade 3,south atlantic division,1
male,8,naturalized citizen,"nursery school, preschool",west north central div,1
male,8,naturalized citizen,kindergarten,new england division,2
male,8,naturalized citizen,kindergarten,middle atlantic division,5
male,8,naturalized citizen,kindergarten,east north central div,4
male,8,naturalized citizen,kindergarten,west north central div,2
male,8,naturalized citizen,kindergarten,south atlantic division,8
male,8,naturalized citizen,kindergarten,east south central div,2
male,8,naturalized citizen,kindergarten,west south central div,1
male,8,naturalized citizen,kindergarten,mountain division,2
male,8,naturalized citizen,kindergarten,pacific division,2
male,8,naturalized citizen,grade 1,new england division,1
male,8,naturalized citizen,grade 1,middle atlantic division,11
male,8,naturalized citizen,grade 1,east north central div,4
male,8,naturalized citizen,grade 1,west north central div,3
male,8,naturalized citizen,grade 1,south atlantic division,11
male,8,naturalized citizen,grade 1,east south central div,2
male,8,naturalized citizen,grade 1,west south central div,3
male,8,naturalized citizen,grade 1,mountain division,4
male,8,naturalized citizen,grade 1,pacific division,14
male,8,naturalized citizen,grade 2,new england division,3
male,8,naturalized citizen,grade 2,middle atlantic division,6
male,8,naturalized citizen,grade 2,east north central div,1
male,8,naturalized citizen,grade 2,south atlantic division,1
male,8,naturalized citizen,grade 2,east south central div,1
male,8,naturalized citizen,grade 2,mountain division,2
male,8,naturalized citizen,grade 2,pacific division,5
male,8,naturalized citizen,grade 4,middle atlantic division,2
male,8,naturalized citizen,grade 4,south atlantic division,1
male,9,born abroad of american parents,kindergarten,west south central div,1
male,9,born abroad of american parents,kindergarten,mountain division,1
male,9,born abroad of american parents,kindergarten,pacific division,2
male,9,born abroad of american parents,grade 1,new england division,3
male,9,born abroad of american parents,grade 1,middle atlantic division,5
male,9,born abroad of american parents,grade 1,east north central div,1
male,9,born abroad of american parents,grade 1,west north central div,2
male,9,born abroad of american parents,grade 1,south atlantic division,9
male,9,born abroad of american parents,grade 1,west south central div,7
male,9,born abroad of american parents,grade 1,mountain division,2
male,9,born abroad of american parents,grade 1,pacific division,13
male,9,born abroad of american parents,grade 2,new england division,4
male,9,born abroad of american parents,grade 2,middle atlantic division,11
male,9,born abroad of american parents,grade 2,east north central div,11
male,9,born abroad of american parents,grade 2,west north central div,3
male,9,born abroad of american parents,grade 2,south atlantic division,15
male,9,born abroad of american parents,grade 2,east south central div,4
male,9,born abroad of american parents,grade 2,west south central div,18
male,9,born abroad of american parents,grade 2,mountain division,9
male,9,born abroad of american parents,grade 2,pacific division,33
male,9,born abroad of american parents,grade 3,new england division,1
male,9,born abroad of american parents,grade 3,middle atlantic division,4
male,9,born abroad of american parents,grade 3,east north central div,2
male,9,born abroad of american parents,grade 3,west north central div,4
male,9,born abroad of american parents,grade 3,south atlantic division,3
male,9,born abroad of american parents,grade 3,west south central div,6
male,9,born abroad of american parents,grade 3,mountain division,1
male,9,born abroad of american parents,grade 3,pacific division,5
male,9,born abroad of american parents,grade 4,middle atlantic division,1
male,9,born abroad of american parents,grade 4,west south central div,1
male,9,born abroad of american parents,grade 4,pacific division,1
male,9,born abroad of american parents,grade 5,south atlantic division,1
male,9,naturalized citizen,no schooling completed,south atlantic division,2
male,9,naturalized citizen,"nursery school, preschool",pacific division,1
male,9,naturalized citizen,kindergarten,east north central div,1
male,9,naturalized citizen,kindergarten,pacific division,1
male,9,naturalized citizen,grade 1,new england division,4
male,9,naturalized citizen,grade 1,middle atlantic division,3
male,9,naturalized citizen,grade 1,east north central div,1
male,9,naturalized citizen,grade 1,west north central div,2
male,9,naturalized citizen,grade 1,south atlantic division,7
male,9,naturalized citizen,grade 1,east south central div,3
male,9,naturalized citizen,grade 1,west south central div,4
male,9,naturalized citizen,grade 1,mountain division,1
male,9,naturalized citizen,grade 1,pacific division,7
male,9,naturalized citizen,grade 2,new england division,4
male,9,naturalized citizen,grade 2,middle atlantic division,13
male,9,naturalized citizen,grade 2,east north central div,6
male,9,naturalized citizen,grade 2,west north central div,6
male,9,naturalized citizen,grade 2,south atlantic division,7
male,9,naturalized citizen,grade 2,east south central div,2
male,9,naturalized citizen,grade 2,west south central div,3
male,9,naturalized citizen,grade 2,mountain division,3
male,9,naturalized citizen,grade 2,pacific division,11
male,9,naturalized citizen,grade 3,new england division,2
male,9,naturalized citizen,grade 3,middle atlantic division,2
male,9,naturalized citizen,grade 3,east north central div,2
male,9,naturalized citizen,grade 3,west north central div,2
male,9,naturalized citizen,grade 3,south atlantic division,2
male,9,naturalized citizen,grade 3,east south central div,1
male,9,naturalized citizen,grade 3,west south central div,2
male,9,naturalized citizen,grade 3,mountain division,1
male,9,naturalized citizen,grade 3,pacific division,5
male,9,naturalized citizen,grade 4,middle atlantic division,1
male,9,naturalized citizen,grade 4,south atlantic division,3
male,9,naturalized citizen,grade 4,pacific division,1
male,10,born abroad of american parents,no schooling completed,south atlantic division,1
male,10,born abroad of american parents,no schooling completed,pacific division,1
male,10,born abroad of american parents,grade 2,new england division,5
male,10,born abroad of american parents,grade 2,middle atlantic division,2
male,10,born abroad of american parents,grade 2,east north central div,4
male,10,born abroad of american parents,grade 2,south atlantic division,12
male,10,born abroad of american parents,grade 2,east south central div,2
male,10,born abroad of american parents,grade 2,west south central div,3
male,10,born abroad of american parents,grade 2,mountain division,3
male,10,born abroad of american parents,grade 2,pacific division,15
male,10,born abroad of american parents,grade 3,new england division,5
male,10,born abroad of american parents,grade 3,middle atlantic division,15
male,10,born abroad of american parents,grade 3,east north central div,8
male,10,born abroad of american parents,grade 3,west north central div,3
male,10,born abroad of american parents,grade 3,south atlantic division,22
male,10,born abroad of american parents,grade 3,east south central div,1
male,10,born abroad of american parents,grade 3,west south central div,12
male,10,born abroad of american parents,grade 3,mountain division,9
male,10,born abroad of american parents,grade 3,pacific division,32
male,10,born abroad of american parents,grade 4,new england division,2
male,10,born abroad of american parents,grade 4,middle atlantic division,6
male,10,born abroad of american parents,grade 4,east north central div,1
male,10,born abroad of american parents,grade 4,west north central div,4
male,10,born abroad of american parents,grade 4,south atlantic division,6
male,10,born abroad of american parents,grade 4,east south central div,2
male,10,born abroad of american parents,grade 4,west south central div,4
male,10,born abroad of american parents,grade 4,mountain division,2
male,10,born abroad of american parents,grade 4,pacific division,6
male,10,born abroad of american parents,grade 5,new england division,1
male,10,born abroad of american parents,grade 5,middle atlantic division,2
male,10,born abroad of american parents,grade 5,west north central div,1
male,10,born abroad of american parents,grade 5,south atlantic division,2
male,10,born abroad of american parents,grade 5,west south central div,2
male,10,born abroad of american parents,grade 5,pacific division,1
male,10,born abroad of american parents,grade 6,middle atlantic division,1
male,10,born abroad of american parents,grade 6,west south central div,1
male,10,born abroad of american parents,grade 6,pacific division,2
male,10,naturalized citizen,no schooling completed,west south central div,1
male,10,naturalized citizen,grade 1,west south central div,1
male,10,naturalized citizen,grade 1,mountain division,1
male,10,naturalized citizen,grade 2,middle atlantic division,5
male,10,naturalized citizen,grade 2,south atlantic division,11
male,10,naturalized citizen,grade 2,east south central div,1
male,10,naturalized citizen,grade 2,west south central div,3
male,10,naturalized citizen,grade 2,pacific division,12
male,10,naturalized citizen,grade 3,new england division,1
male,10,naturalized citizen,grade 3,middle atlantic division,14
male,10,naturalized citizen,grade 3,east north central div,7
male,10,naturalized citizen,grade 3,west north central div,2
male,10,naturalized citizen,grade 3,south atlantic division,11
male,10,naturalized citizen,grade 3,east south central div,2
male,10,naturalized citizen,grade 3,west south central div,5
male,10,naturalized citizen,grade 3,mountain division,4
male,10,naturalized citizen,grade 3,pacific division,17
male,10,naturalized citizen,grade 4,new england division,2
male,10,naturalized citizen,grade 4,middle atlantic division,8
male,10,naturalized citizen,grade 4,east north central div,1
male,10,naturalized citizen,grade 4,west north central div,1
male,10,naturalized citizen,grade 4,south atlantic division,7
male,10,naturalized citizen,grade 4,east south central div,3
male,10,naturalized citizen,grade 4,west south central div,1
male,10,naturalized citizen,grade 4,mountain division,2
male,10,naturalized citizen,grade 4,pacific division,8
male,10,naturalized citizen,grade 5,new england division,1
male,10,naturalized citizen,grade 5,middle atlantic division,1
male,10,naturalized citizen,grade 5,south atlantic division,1
male,10,naturalized citizen,grade 5,west south central div,1
male,10,naturalized citizen,grade 6,middle atlantic division,1
male,11,born abroad of american parents,grade 2,east north central div,1
male,11,born abroad of american parents,grade 2,west north central div,1
male,11,born abroad of american parents,grade 2,south atlantic division,1
male,11,born abroad of american parents,grade 2,west south central div,1
male,11,born abroad of american parents,grade 2,mountain division,1
male,11,born abroad of american parents,grade 3,new england division,2
male,11,born abroad of american parents,grade 3,middle atlantic division,5
male,11,born abroad of american parents,grade 3,east north central div,6
male,11,born abroad of american parents,grade 3,west north central div,2
male,11,born abroad of american parents,grade 3,south atlantic division,14
male,11,born abroad of american parents,grade 3,east south central div,2
male,11,born abroad of american parents,grade 3,west south central div,6
male,11,born abroad of american parents,grade 3,mountain division,5
male,11,born abroad of american parents,grade 3,pacific division,7
male,11,born abroad of american parents,grade 4,new england division,7
male,11,born abroad of american parents,grade 4,middle atlantic division,21
male,11,born abroad of american parents,grade 4,east north central div,8
male,11,born abroad of american parents,grade 4,west north central div,6
male,11,born abroad of american parents,grade 4,south atlantic division,30
male,11,born abroad of american parents,grade 4,east south central div,3
male,11,born abroad of american parents,grade 4,west south central div,16
male,11,born abroad of american parents,grade 4,mountain division,7
male,11,born abroad of american parents,grade 4,pacific division,29
male,11,born abroad of american parents,grade 5,new england division,1
male,11,born abroad of american parents,grade 5,middle atlantic division,4
male,11,born abroad of american parents,grade 5,east north central div,2
male,11,born abroad of american parents,grade 5,west north central div,1
male,11,born abroad of american parents,grade 5,south atlantic division,4
male,11,born abroad of american parents,grade 5,west south central div,5
male,11,born abroad of american parents,grade 5,mountain division,2
male,11,born abroad of american parents,grade 5,pacific division,8
male,11,born abroad of american parents,grade 6,new england division,1
male,11,born abroad of american parents,grade 7,pacific division,1
male,11,naturalized citizen,grade 1,middle atlantic division,2
male,11,naturalized citizen,grade 2,east north central div,2
male,11,naturalized citizen,grade 2,south atlantic division,1
male,11,naturalized citizen,grade 2,pacific division,1
male,11,naturalized citizen,grade 3,new england division,2
male,11,naturalized citizen,grade 3,middle atlantic division,6
male,11,naturalized citizen,grade 3,east north central div,5
male,11,naturalized citizen,grade 3,west north central div,1
male,11,naturalized citizen,grade 3,south atlantic division,8
male,11,naturalized citizen,grade 3,east south central div,1
male,11,naturalized citizen,grade 3,west south central div,4
male,11,naturalized citizen,grade 3,mountain division,3
male,11,naturalized citizen,grade 3,pacific division,10
male,11,naturalized citizen,grade 4,new england division,4
male,11,naturalized citizen,grade 4,middle atlantic division,19
male,11,naturalized citizen,grade 4,east north central div,3
male,11,naturalized citizen,grade 4,west north central div,6
male,11,naturalized citizen,grade 4,south atlantic division,9
male,11,naturalized citizen,grade 4,east south central div,1
male,11,naturalized citizen,grade 4,west south central div,5
male,11,naturalized citizen,grade 4,mountain division,4
male,11,naturalized citizen,grade 4,pacific division,17
male,11,naturalized citizen,grade 5,new england division,1
male,11,naturalized citizen,grade 5,middle atlantic division,7
male,11,naturalized citizen,grade 5,east north central div,4
male,11,naturalized citizen,grade 5,west north central div,2
male,11,naturalized citizen,grade 5,south atlantic division,8
male,11,naturalized citizen,grade 5,east south central div,1
male,11,naturalized citizen,grade 5,west south central div,1
male,11,naturalized citizen,grade 5,mountain division,2
male,11,naturalized citizen,grade 5,pacific division,10
male,11,naturalized citizen,grade 6,middle atlantic division,1
male,12,born abroad of american parents,kindergarten,pacific division,1
male,12,born abroad of american parents,grade 3,middle atlantic division,1
male,12,born abroad of american parents,grade 3,south atlantic division,1
male,12,born abroad of american parents,grade 3,west south central div,2
male,12,born abroad of american parents,grade 3,pacific division,1
male,12,born abroad of american parents,grade 4,middle atlantic division,10
male,12,born abroad of american parents,grade 4,east north central div,7
male,12,born abroad of american parents,grade 4,west north central div,5
male,12,born abroad of american parents,grade 4,south atlantic division,12
male,12,born abroad of american parents,grade 4,west south central div,7
male,12,born abroad of american parents,grade 4,mountain division,4
male,12,born abroad of american parents,grade 4,pacific division,10
male,12,born abroad of american parents,grade 5,new england division,7
male,12,born abroad of american parents,grade 5,middle atlantic division,13
male,12,born abroad of american parents,grade 5,east north central div,10
male,12,born abroad of american parents,grade 5,west north central div,2
male,12,born abroad of american parents,grade 5,south atlantic division,21
male,12,born abroad of american parents,grade 5,east south central div,4
male,12,born abroad of american parents,grade 5,west south central div,17
male,12,born abroad of american parents,grade 5,mountain division,10
male,12,born abroad of american parents,grade 5,pacific division,32
male,12,born abroad of american parents,grade 6,new england division,3
male,12,born abroad of american parents,grade 6,middle atlantic division,3
male,12,born abroad of american parents,grade 6,east north central div,7
male,12,born abroad of american parents,grade 6,west north central div,2
male,12,born abroad of american parents,grade 6,south atlantic division,9
male,12,born abroad of american parents,grade 6,east south central div,2
male,12,born abroad of american parents,grade 6,west south central div,4
male,12,born abroad of american parents,grade 6,mountain division,7
male,12,born abroad of american parents,grade 6,pacific division,9
male,12,born abroad of american parents,grade 7,pacific division,1
male,12,naturalized citizen,no schooling completed,middle atlantic division,1
male,12,naturalized citizen,grade 3,new england division,1
male,12,naturalized citizen,grade 3,south atlantic division,1
male,12,naturalized citizen,grade 3,west south central div,1
male,12,naturalized citizen,grade 4,new england division,1
male,12,naturalized citizen,grade 4,middle atlantic division,7
male,12,naturalized citizen,grade 4,east north central div,5
male,12,naturalized citizen,grade 4,west north central div,13
male,12,naturalized citizen,grade 4,south atlantic division,10
male,12,naturalized citizen,grade 4,east south central div,3
male,12,naturalized citizen,grade 4,west south central div,7
male,12,naturalized citizen,grade 4,mountain division,2
male,12,naturalized citizen,grade 4,pacific division,5
male,12,naturalized citizen,grade 5,new england division,4
male,12,naturalized citizen,grade 5,middle atlantic division,17
male,12,naturalized citizen,grade 5,east north central div,10
male,12,naturalized citizen,grade 5,west north central div,7
male,12,naturalized citizen,grade 5,south atlantic division,16
male,12,naturalized citizen,grade 5,east south central div,4
male,12,naturalized citizen,grade 5,west south central div,5
male,12,naturalized citizen,grade 5,mountain division,4
male,12,naturalized citizen,grade 5,pacific division,22
male,12,naturalized citizen,grade 6,new england division,1
male,12,naturalized citizen,grade 6,middle atlantic division,9
male,12,naturalized citizen,grade 6,east north central div,6
male,12,naturalized citizen,grade 6,west north central div,2
male,12,naturalized citizen,grade 6,south atlantic division,3
male,12,naturalized citizen,grade 6,east south central div,1
male,12,naturalized citizen,grade 6,west south central div,3
male,12,naturalized citizen,grade 6,mountain division,1
male,12,naturalized citizen,grade 6,pacific division,8
male,12,naturalized citizen,grade 7,pacific division,1
male,12,naturalized citizen,grade 8,middle atlantic division,1
male,13,born abroad of american parents,grade 4,east north central div,1
male,13,born abroad of american parents,grade 4,south atlantic division,2
male,13,born abroad of american parents,grade 5,new england division,2
male,13,born abroad of american parents,grade 5,middle atlantic division,10
male,13,born abroad of american parents,grade 5,east north central div,6
male,13,born abroad of american parents,grade 5,south atlantic division,13
male,13,born abroad of american parents,grade 5,east south central div,1
male,13,born abroad of american parents,grade 5,west south central div,4
